Placement Flow Stages Table
StageName       Tag  Time(sec) Cells   HPWL(nm)    TWL(nm)   TNS(ns) WNS(ns)
----------------------------------------------------------------------------
InitialState    INIT     1.072 18718   68722240   68722240 1230.9219  2.9216
GlobalPlacement GP1     89.441 18718  931903534 1063269014 2044.6263  5.0739
Legalization    LEG1    91.161 18718 1144619171 1289555501 2100.6707  5.1956
GlobalPlacement GP2    187.466 18718 1062049787 1183813273 1807.0984  4.5807
Legalization    LEG2   189.378 18718 1355129865 1496399565 1951.2150  4.9164
GlobalPlacement GP3   2678.190 18718  107092389  112035434 1240.0793  2.9511
Legalization    LEG3  2681.296 18718 6770772247 7028983057 4880.4839 16.0113
GlobalPlacement GP4   2730.254 18718  113948830  119697954 1243.3825  2.9618
Legalization    LEG4  2733.024 18718 6744413087 7003139197 4848.2157 14.0209
GlobalPlacement GP5   2819.352 18718 1293170187 1453451047 1899.7436  4.7308
Legalization    LEG5  2821.074 18718 1589877888 1765304898 2053.2119  5.0733
GlobalPlacement GP6   2870.667 18718  118839995  124904704 1244.6762  2.9679
Legalization    LEG6  2873.512 18718 7065948140 7323637550 5232.4820 15.6643
GlobalPlacement GP7   2920.437 18718  125222826  131918797 1245.5363  2.9735
Legalization    LEG7  2923.196 18718 6360839527 6585309626 4644.6427 13.9064
GlobalPlacement GP8   2972.265 18718  160097880  171359944 1258.4599  3.0090
Legalization    LEG8  2974.968 18718 6328954804 6557195717 5536.5296 15.7471
GlobalPlacement GP9   3018.772 18718   95658010   99184542 1234.9132  2.9512
Legalization    LEG9  3021.572 18718 6918769522 7181629234 5100.6994 16.2382
Legalization    LEG   3024.332 18718 1355129865 1496399565 1951.2150  4.9164
----------------------------------------------------------------------------
