Placement Flow Stages Table
StageName       Tag  Time(sec) Cells   HPWL(nm)    TWL(nm)   TNS(ns) WNS(ns)
----------------------------------------------------------------------------
InitialState    INIT     1.437 18718   68722240   68722240 1230.9219  2.9216
GlobalPlacement GP1   1918.122 18718  931903534 1063269014 2044.6263  5.0739
Legalization    LEG1  1920.460 18718 1144619171 1289555501 2100.6707  5.1956
GlobalPlacement GP2   2581.830 18718  932381546 1060231323 2035.6416  5.1111
Legalization    LEG2  2584.079 18718 1139959985 1282738445 2089.4216  5.1822
GlobalPlacement GP3   2733.637 18718  940096003 1068142995 2047.0315  5.1304
Legalization    LEG3  2735.908 18718 1147169600 1289335580 2080.6671  5.1426
GlobalPlacement GP4   2872.614 18718  938233117 1061746177 1958.4747  4.8527
Legalization    LEG4  2874.794 18718 1149059883 1287768453 2025.7619  5.0139
GlobalPlacement GP5   3015.745 18718  937476269 1060793000 2065.0673  5.4582
Legalization    LEG5  3018.087 18718 1147677525 1286181889 2136.1339  5.6094
GlobalPlacement GP6   4961.928 18718  948944281 1065555139 1957.8056  4.8210
Legalization    LEG6  4964.285 18718 1172894977 1304555407 2031.1387  4.9656
GlobalPlacement GP7   9142.608 18718  941575887 1063365020 1976.8102  5.0292
Legalization    LEG7  9144.805 18718 1169841281 1308780851 2048.3453  5.2502
GlobalPlacement GP8  19961.516 18718  942022941 1060026078 2006.8764  4.9086
Legalization    LEG8 19963.818 18718 1160357243 1293840263 2086.4730  5.1395
GlobalPlacement GP9  29928.820 18718  937064732 1056728431 1990.4259  4.9516
Legalization    LEG9 29931.059 18718 1154172903 1289335953 2063.3734  5.1966
Legalization    LEG  29946.074 18718 1149059883 1287768453 2025.7619  5.0139
----------------------------------------------------------------------------
